24K国际连锁酒店（上海火车站店） ,021-51721988,021-51721999
24K国际连锁酒店（上海人民广场店） ,021-51181200,021-51181222
99旅馆连锁（上海金山卫陵路店） ,021-57958488,021-57952499
99旅馆连锁（上海南翔店） ,021-69897193,021-69897192
99旅馆连锁（上海淞滨路店） ,021-56843299,021-56843299
a8酒店（上海国顺店） ,021-55057979,021-55050606
a8酒店（上海虹桥店） ,021-54220871,021-64067128、021-64060405
布丁酒店（上海火车站店） ,021-36339399,021-36339599
布丁酒店（上海人民广场店） ,021-60872773,021-60872772
布丁酒店（上海杨浦大桥店） ,021-55087220,021-55088283
布丁酒店（上海中山公园店） ,021-52243922,021-52243008
宝隆居家旅店（上海虹桥店） ,021-62688617,021-62420808
佰圆宾馆（上海邯郸店） ,021-65527003,021-65527003
佰圆宾馆（上海怀德店） ,021-55217589,021-55217589 
佰圆宾馆（上海眉州店） ,021-55806299,021-55806299 
佰圆宾馆（上海武夷店） ,021-62106058,021-62256282
佰圆宾馆（上海营口店） ,021-65345842,021-65345842
佰圆宾馆（上海中山店） ,021-51019916,021-51019893、51019916
城市之家酒店（上海北海饭店） ,021-52666677,021-52666699、62575253、62575350
城市之家酒店（上海鲁迅公园店） ,021-51808289,021-51808288
枫叶速8酒店（上海北外滩店） ,021-65472527,021-65356633、65472526
枫叶速8酒店（上海虹桥店） ,021-64058538,021-64055628
富驿时尚酒店（上海世博店）（原上海海锦酒店公寓） ,021-61009460,021-61009100
宝隆居家旅店（上海五角场店） ,021-55227880,021-65503300
格林豪泰（上海北外滩店） ,021-65430986,021-65434890
格林豪泰（上海崇明堡镇店） ,021-59415118,021-59411818
格林豪泰（上海崇明南门店） ,021-59618828,021-59611111
格林豪泰（上海成山路店） ,021-58866767,021-58869989
格林豪泰（上海长途客运总站店） ,021-56522108,021-56525888
格林豪泰（上海长兴岛店） ,021-33801788,021-33801118
格林豪泰（上海复兴中路新天地店） ,021-53825165,021-63841199
格林豪泰（上海丰庄店） ,021-69193788,021-69196868
格林豪泰（上海顾村店） ,021-56181033,021-56040898
格林豪泰（上海光大会展店） ,021-54976068,021-54976058
格林豪泰（上海江桥店） ,021-33512303,021-33512301
格林豪泰（上海金山城市沙滩店） ,021-67960123,021-67965555
格林豪泰（上海南奉公路店） ,021-57185086,021-57186000
格林豪泰（上海南翔店） ,021-59122639,021-39925998
格林豪泰（上海南站店） ,021-54113150,021-54113151
格林豪泰（上海浦东陆家嘴店） ,021-58772881,021-58882278、58882070、58882055
格林豪泰（上海世纪公园店） ,021-50451213,021-50591122
格林豪泰（上海武宁路二店） ,021-62161188,021-62161188
格林豪泰（上海吴中路店） ,021-51503666,021-51503333
格林豪泰（上海延安中路店） ,021-62494101,021-62497388
格林豪泰（上海延长路店） ,021-51007598,021-51009998
格林豪泰（上海中山公园店） ,021-52123200,021-52386655
格林联盟（上海长江南路店） ,021-51823720,021-51823719
格林联盟（上海复兴东路外滩店）（原上海复佳商务酒店） ,021-63669360,021-63669358
格林联盟（上海锦绣东路店） ,021-50311819,021-50315600
格林联盟（上海牡丹江路店） ,021-56173786,021-56168795
广西宾馆 ,021-62050884,021-62056808
汉庭海友客栈（上海塘桥南浦大桥店） ,021-60930255,021-60893366
好家快捷酒店（上海漕宝路店） ,021-54488665,021-64368585
汉庭酒店（上海长寿店） ,021-52524536,021-52524530
汉庭快捷酒店（上海宝山吴淞店） ,021-56585817,021-56585388
汉庭快捷酒店（上海漕宝路店） ,021-34677776,021-34677779
汉庭快捷酒店（上海大柏树店） ,021-60826996,021-60826998
汉庭快捷酒店（上海奉贤环城东路店） ,021-67116880,021-67119880
汉庭快捷酒店（上海广粤路店） ,021-61673226,021-61673228
