杭州半瓶子青年旅舍 ,0571-87794178,0571-87217736
杭州滨桥湾酒店公寓 ,0571-86023832,0571-86023832
杭州宝石饭店 ,0571-85157148,0571-85157148
杭州半山速8酒店 ,0571-88140587,0571-88132988
杭州畅游假日酒店 ,0571-87818980,0571-86461756
杭州城站速8酒店 ,0571-28932666,0571-28932888
杭州东方驿酒店 ,0571-88272908,0571-28886663
杭州多瑙河假日酒店 ,0571-86856708,0571-86856558
杭州度尚居酒店公寓 ,0571-86661842,0571-86661842
杭州东星商务大酒店 ,0571-28991488,0571-28990088
杭州鼎御商务酒店 ,0571-85770328,0571-86436811
杭州富尔特商务酒店（复兴路店） ,0571-86588377,0571-86583333
杭州富尔特商务酒店（萧山店） ,0571-82853000,0571-82856999
杭州富恒假日酒店 ,0571-87830819,0571-87830819
杭州富凯假日酒店 ,0571-87211131,0571-87211103
杭州福临乐汇度假酒店 ,0571-88731700,0571-88730666
杭州广纳假日酒店 ,0571-85059334,0571-85059333
杭州煌程宾馆 ,0571-88976056,0571-88976056
杭州汉家商务酒店 ,0571-86592679,0571-86927316
杭州虎跑山庄 ,0571-87153350-8001,0571-87153350
杭州豪尚豪旅馆 ,0571-88929253,0571-88929253
杭州华宋佳和商务酒店 ,0571-28203358,0571-28876996
杭州华天大酒店 ,0571-87047716,0571-87048111
杭州汉象图书音乐酒店 ,0571-28060866,0571-28183333
杭州金牛堂商务酒店 ,0571-83888678,0571-82700888
杭州聚千阁酒店 ,0571-87256387,0571-87256370
杭州金勺子酒店 ,0571-88868167,0571-88869779
杭州景文商务酒店 ,0571-88065882,0571-87006418
杭州景中村旅馆 ,0571-88003063,0571-88003063
杭州卡贝澜假日酒店 ,0571-87760406,0571-85221909
杭州可居快捷酒店 ,0571-88907480,0571-87015616
杭州快乐家园酒店 ,0571-56293898,0571-56293888
杭州酷漫居酒店（运河广场店） ,0571-56558998,0571-56558999
杭州酷漫居·尚品酒店 ,0571-58121998,0571-58121999
杭州酷漫居主题酒店 ,0571-56066366,0571-56063333
杭州康舒大酒店 ,0571-86977772-8006,0571-86977772
杭州丽居酒店 ,0571-88097060,0571-88097060
杭州岭居精品青年旅舍 ,0571-86576919,0571-87991456
杭州罗森酒店式公寓潮人汇店（原西湖柒号潮人汇店） ,0571-88833007,0571-87700106
杭州丽庭酒店 ,0571-87755990,0571-87755999
杭州凌云航空大酒店 ,0571-85106353,0571-28916888
杭州灵隐唐朝客栈 ,0571-86965425,0571-86965425
杭州朗逸轩快捷酒店 ,0571-89986899,0571-89988000
杭州莱茵种子主题酒店 ,0571-88933859,0571-88933800
杭州迈德瑞年酒店 ,0571-88782227,0571-88766666
杭州名豪假日酒店 ,0571-28811859,0571-28811369
杭州名嘉客栈 ,0571-86511036,0571-86586567
杭州漫居主题度假酒店 ,0571-87979850,0571-86977522
杭州美凯大酒店 ,0571-56755567,0571-56755888
杭州摩纳歌艺术酒店 ,0571-86737793,0571-28056666
杭州名仁商务酒店 ,0571-56565123,0571-56565000
杭州陌上花青年旅舍 ,0571-86010807,0571-86010807
杭州宁都假日旅店 ,0571-87069135,0571-87801695
